comment_text,comment_user,facebook_url,page_name,post_date
"¿Dejaron que los bomberos entren a ayudar a salvar las vidas de esos chicos o no? Ojo, McDonald's que eso si es grave de verdad. Y... dos días de duelo... pfff... por favor... si Domino's Pizza cerró sus operaciones solo por una cucaracha, ¿cómo debería ser la cosa con ustedes?",/jorge.l.chavez.148,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Así es Diego, ¡ve por el tuyo!",/McDonaldsPeru/,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
…,#,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
(Y),/diego.romerogarcia.9887,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
😑,/danny.hidalgoasencios,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
¿Cuándo sacan lo de pokemon?,/PedroGomez08,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
…,/SoyRosalindaYTuNo,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Aprovecha esos dos dias para levantar todas las faltas a la ley de seguridad y salud en el trabajo y para que identifiquen los IPERC de cada restaurante.,/lilian.landeocaipo,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Ya esta pokemon en la cajita feliz? X2,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
Pero en al television salieron los familiares diciendo q no sabian q habia pasado con sus hija y q la empresa no les da razon de que paso,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Igual, nadie iba a ir a un lugar manchado de sangre inocente. Y si en verdad están afectados, indemnicen a los deudos de manera ejemplar (el dinero no alivia el dolor pero es lo mínimo que pueden hacer).",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Dos días para tapar las falencias seguramente.,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Qué chistosos son. Los bomberos ya declararon que no dejaron que ingresen; además que fueron los vecinos quienes llamaron, no ustedes. Además, el hecho ocurrió a las 4 am y recién avisaron a las 10 am. Los chicos trabajaban en condiciones infrahumanas, horas extras no remuneradas y con jefes que poco o nada hacían por ellos. Felizmente que nunca me ha gustado su hamburguesa, así no extrañaré no ir a esos locales.",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Como una cocina eléctrica con un adecuado pozo a tierra, llave diferencial, aislamiento y miles de etc puede matar a alguien? Como pasaron Indeci? Cual es su plan de mantenimiento? Cual es su Capex anual en sistemas críticos? Son una vergüenza para la gente que trabaja en retail.",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"no se abusa de los trabajadores horarios justos y remunerados con todo de ley pobres familias que han perdido a sus hijos en que condiciones trabajan cables dañados, rotos  sin usar ningun tipo de indumentaria adecuada porque ¡¡¡¡siendo una cadena tan grande ojala y se exclaresca este caso de una vez",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
😠,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
No es normal que vayas a trabajar y mueras electrocutado por realizar tu labor.,/mcfc.21,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
…,#,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"¿Qué clase de estrategia de marketing es aquella que iguala la vida de un joven a la de UN DÍA de un restaurante inoperativo? Tienen que ser inhumanos para creer que con un documento, un “comunicado”, en verdad se empatiza con la gente y el público. Pésimo.",/valeria.aguilarperales,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
❤️,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
Mcdonalds la central debe retirar la franquicia y cerrar en todo el peru tal como lo hizo Domino's cuando encontraron cucarachas en sus locales algo más ínfimo a comparación de esta tragedia,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Ernesto Guardia miraaaaaaa,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
💖,/ivonne.tadeotejada,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
:P,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
…,#,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Giank V Reynoso te acostumbraste,/acantocartagena,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Además el abogado ha dicho que no han tenido las ganas de colaborar menos brindar información a la familia.,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
…,/jair.ruizarellano,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Estoy interesado por los tabs de pokemon cuando llegan?,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
Vale hoy??,/cesaraugusto.castillochavez,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
"2 días, tiempo suficiente para que revisen minuciosamente cada uno de sus locales porque saben que ahora van a ir a verificar que cumplan con todas las medidas de seguridad, es lamentable que recién, después de una desgracia se preocupen de evaluar sus instalaciones. Danni Castillo Cosio",/gianina.boggiano,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Ya esta pokemon en la cajita feliz?,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
"Esos 2 días no serán de duelo, serán para revisar todos sus restaurantes... Para que en un futuro próximo no haya tragedias ... No nos engañen, no creo en su noble corazón a estas alturas. Ahora lamentamos toda esta noticia. Perder a un hijo en vísperas de Navidad... No se lo deseo a nadie. No hay consuelo para estas dos familias. Todo porque en su momento ustedes no tomaron las medidas de prevención.",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Katherine Wong te gusta eso,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
Traducción = revisaremos nuestros locales antes que nos fiscalizen y encuentren algo.,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Naaadaa eso de las charlas, por más que la empresa lo niegue, dudo que hayan recibido esa charla. Sucede en muchos locales de comida, la capacitación es ""hacer lo que tu compañero hace"".",/jeanpiere.ipanaquelavado,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Como todos los negocios fast food explotadores... Por qué no explican los motivos que tuvieron para no dejar entrar A los bomberos EN SU MOMENTO? Tratan de ocultar alguna responsabilidad ?,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Claro ..... 2 días para revisar que todos sus locales estén presentables para la inspección que les viene ..... que desastre!,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Y deben ir preparándose para dar la indemnización que se merecen sus familiares, espero que ellos se consigan buenos abogados que los dejen pobres, no repararán el daño, ni el dolor pero al menos les causará molestias y sobre todo perdida de lo que tanto adoran ""el dinero""!!!",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
El patriarcado es un juez... Que los juzga por nacer...,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2688624531184029/?type=3,McDonaldsPeru,2019-12-11
"Para que aprovechen en arreglar sus cableados, bien pensado",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Dos dias de duelo dice... ja'!!! En esos dos dias se van a encargar de revisar todas sus instalaciones, para eso quieren sus 2 dias!!!",/stefaniedaniela.reyesaguilar,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
;),/McDonaldsPeru/,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
Hambre De Poder,/xthian.peralta,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
…,/acantocartagena,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
