word,sentiment
Acogedor,positive
Agradable,positive
Amabilidad,positive
Apocalipsis,positive
Besitos,positive
Besos,positive
Bienvenido,positive
Bienvenidos,positive
Bosworth,negative
Bss,positive
Buen,positive
Buena,positive
Buenisimo,positive
Buenisimos,positive
Buenos,positive
Buenos Dias,positive
Buenos Días,positive
BuenosDias,positive
BuenosDías,positive
Buens,positive
Buenísima,positive
Buenísimo,positive
Carísimo,negative
Confortable,positive
Cutre,negative
Cómodo,positive
DECEPCION,negative
Decepcion,negative
Decepcionante,negative
Dejadez,negative
Delicioso,positive
Deplorable,negative
Depresion,negative
Desastroso,negative
Desesperante,negative
Desilusión,negative
Dificil,negative
Dostoevski,negative
Egunon,positive
Elegante,positive
Encantador,positive
Engaño,negative
Enhorabuena,positive
Escasa,negative
Escasez,negative
Escaso,negative
Estafa,negative
Estupenda,positive
Estupendo,positive
Excelentes,positive
Excepcional,positive
Exelente,positive
Exquisito,positive
Fabuloso,positive
Fantastico,positive
Fantástica,positive
Fantásticas,positive
Fantástico,positive
Felicidades,positive
Feliz,positive
Feliz Martes,positive
Fiasco,negative
Flojo,negative
Fortuna,positive
Fritanga,negative
Fácil,positive
GRACIAS,positive
Genial,positive
Gracias,positive
Gran,positive
Gritos,negative
Gràcies,positive
HEEY,positive
Hermosa,positive
Horroroso,negative
Imprescindible,positive
Impresentable,negative
Impresentables,negative
Impropio,negative
Inaudito,negative
Inmejorable,positive
Insultante,negative
Intolerable,negative
Jo,negative
Joe,negative
Jope,negative
Lazaro,negative
Lentos,negative
Magnífico,positive
Mala,negative
Malisima,negative
Malisimo,negative
Malísimo,negative
Maravillosa,positive
Mentira,negative
Nefasto,negative
PESIMO,negative
Pesadilla,negative
Pesima,negative
Pesimo,negative
Pfff,negative
Preciosas,positive
Problemas,negative
Pésima,negative
Pésimo,negative
Pésimo Servicio,negative
Recomendado,positive
Revelacion,positive
Ruidos,negative
Suciedad,negative
Suerte,positive
Tetrico,negative
Timo,negative
Tranquilo,positive
Triste,negative
Vacaciones,positive
a ciegas,negative
a dedo,negative
a dos velas,negative
a duras penas,negative
a flote,positive
a grito pelado,negative
a huevo,positive
a la deriva,negative
a la moda,positive
a la sombra,negative
a mamarla,negative
a mí plin,negative
a pesar de,negative
a salvo,positive
a todo correr,negative
a tope,positive
a trancas y barrancas,negative
a viva voz,negative
abajamiento,negative
abajo,negative
abajo ,negative
abandonada,negative
abandonadas,negative
abandonado,negative
abandonados,negative
abandonamiento,negative
abandonar,negative
abandono,negative
abandonos,negative
abaratar,negative
abarraganamiento,negative
abarrancarse,negative
abarrotada,negative
abarrotadas,negative
abarrotado,negative
abarrotados,negative
abatida,negative
abatidamente,negative
abatidas,negative
abatido,negative
abatidos,negative
abatimiento,negative
abatir,negative
abatirse,negative
abdicar,negative
aberración,negative
abiertamente,positive
abierto,positive
abigarrada,negative
abigarradas,negative
abigarrado,negative
abigarrados,negative
abismal,negative
abismalmente,negative
abismo,negative
abjuracion,negative
abjurar,negative
abnegacion,negative
abnegado,positive
abobamiento,positive
abobar,positive
abochornado,negative
abochornar,negative
abofetear,negative
abogar por,positive
abogó,positive
abolir,negative
abollada,negative
abolladas,negative
abollado,negative
abollados,negative
abolladura,negative
abolladuras,negative
abollar,negative
abominable,negative
abominablemente,negative
abominacion,negative
abominación,negative
abominar,negative
abordar,negative
aborrecedores,negative
aborrecer,negative
aborrecible,negative
aborreciblemente,negative
aborrecimiento,negative
aborrecimiento ,negative
aborta,negative
abortada,negative
abortadas,negative
abortado,negative
abortados,negative
abortar,negative
aborto,negative
abrasador,negative
abrasadora,negative
abrasadoramente,negative
abrasiva,negative
abrasivas,negative
abrasivo,negative
abrasivos,negative
abrazar,positive
abrazarse,positive
abrazo,positive
abrazooooo,positive
abrazos,positive
abruma,negative
abrumada,negative
abrumadas,negative
abrumado,negative
abrumador,negative
abrumadora,negative
abrumadoramente,negative
abrumados,negative
abrumar,negative
abrumar ,negative
abrupta,negative
abruptamente,negative
abruptas,negative
abrupto,negative
abruptos,negative
absentismo,negative
absolucion,positive
absolutismo,negative
absoluto,negative
absolver,positive
absorbente,positive
absorbentes,positive
abstinente,negative
absuelta,positive
absueltas,positive
absuelto,positive
absueltos,positive
absurda,negative
absurdamente,negative
absurdas,negative
absurdo,negative
absurdos,negative
abuchear,negative
abucheo,negative
abulico,negative
abunda,positive
abundancia,positive
abundancias,positive
abundante,positive
abundantes,positive
abundar,positive
abundas,positive
abundoso,positive
aburrida,negative
aburridas,negative
aburrido,negative
aburridos,negative
aburrimiento,negative
aburrir,negative
abusa,negative
abusada,negative
abusadas,negative
abusado,negative
abusados,negative
abusar,negative
abusar de,negative
abusica,negative
abusiva,negative
abusivas,negative
abusivo,negative
abusivos,negative
abuso,negative
abusos,negative
abyectamente,negative
abyecto,negative
acabado,negative
acabalar,positive
acallar,positive
acalorado,negative
acatar,positive
acaudalado,positive
acceder,positive
accesible,positive
accesibles,positive
accidental,negative
accidente,negative
accidentes,negative
acción,positive
acecha,negative
acechante,positive
acecho,negative
acechos,negative
acedia,negative
acefalo,negative
acelerar,positive
acento,positive
acentrico,negative
aceptable,positive
aceptables,positive
aceptación,positive
aceptar,positive
acepto,positive
acerbo,negative
acertadamente,positive
acertado,positive
acertar,positive
acertijo,positive
achachay,positive
achalay,positive
achantado,negative
achaque,negative
achispado,negative
achuchón,positive
aciago,positive
acibarar,negative
acicalado,positive
acicate,positive
acido,negative
acierto,positive
aclamacion,positive
aclamaciones,positive
aclamación,positive
aclamada,positive
aclamadas,positive
aclamado,positive
aclamados,positive
aclamar,positive
aclarar,positive
aclararse,positive
aclaró,positive
acne,negative
acobardar,negative
acocojada,negative
acogedor,positive
acogedores,positive
acoger,positive
acoger con agrado,positive
acogida,positive
acojonado,negative
acojonante,positive
acometedor,negative
acometer,negative
acometiente,negative
acometimiento,negative
acometividad,negative
acomodadamente,positive
acomodadiza,positive
acomodadizo,positive
acomodado,positive
acomodar,positive
acomodarse,positive
acomodaticia,positive
acomodaticio,positive
acomplejado,negative
acondritico,negative
aconfesional,negative
acongojado,negative
acongojar,negative
aconsejable,positive
acoquinado,negative
acoquinamiento,negative
acoquinar,negative
acordar,positive
acortarse,negative
acosa,negative
acosada,negative
acosadas,negative
acosado,negative
acosador,negative
acosados,negative
acosar,negative
acose,negative
acoso,negative
acostado,negative
acre,negative
acreditada,positive
acreditadas,positive
acreditado,positive
acreditados,positive
acribillar,negative
acrimonia,negative
acritud,negative
acromatopsia,negative
activo,positive
actualizable,positive
actualizada,positive
actualizadas,positive
actualizado,positive
actualizados,positive
acuchillar,negative
acuciar,positive
acucioso,positive
acuerdo,positive
acuitadamente,negative
acuitar,negative
acumulacion,negative
acumulada,negative
acumuladas,negative
acumulado,negative
acumulados,negative
acusa,negative
acusacion,negative
acusaciones,negative
acusación,negative
acusando,negative
acusar,negative
acusatoriamente,negative
acusica,negative
acuso,negative
adaptable,positive
adaptables,positive
adaptado,positive
adaptados,positive
adaptar,positive
adaptarse,positive
